agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN RECREATION,2017,4271456
DEPARTMENT OF PARKS AND RECREATION,CAPITAL PROJECTS,2017,37986031
DEPARTMENT OF PARKS AND RECREATION,CENTRAL OPERATIONS,2017,79855107
DEPARTMENT OF PARKS AND RECREATION,CENTRAL RECREATION,2017,6808740
DEPARTMENT OF PARKS AND RECREATION,CHIEF OF CONCESSIONS,2017,907757
DEPARTMENT OF PARKS AND RECREATION,CITYWIDE SERVICES,2017,1909539
DEPARTMENT OF PARKS AND RECREATION,COMMISSIONER PARKS + RECREAT,2017,470623
DEPARTMENT OF PARKS AND RECREATION,DEP COMMISSIONER OF OPERATIONS,2017,172120
DEPARTMENT OF PARKS AND RECREATION,DEPUTY COMMISSIONER-PLANNING,2017,810094
DEPARTMENT OF PARKS AND RECREATION,DEPUTY COMM OF MGMT,2017,45641163
DEPARTMENT OF PARKS AND RECREATION,EXECUTIVE MGMT AND ADMIN SVCS,2017,340492
DEPARTMENT OF PARKS AND RECREATION,FIVE BORO,2017,20153795
DEPARTMENT OF PARKS AND RECREATION,MANHATTAN OPERATIONS,2017,43110076
DEPARTMENT OF PARKS AND RECREATION,MANHATTAN RECREATION,2017,7684276
DEPARTMENT OF PARKS AND RECREATION,QUEENS OPERATIONS,2017,42017540
DEPARTMENT OF PARKS AND RECREATION,QUEENS RECREATION,2017,4513121
DEPARTMENT OF PARKS AND RECREATION,STATEN ISLAND OPERATIONS,2017,17479068
DEPARTMENT OF PARKS AND RECREATION,STATEN ISLAND RECREATION,2017,1985604
DEPARTMENT OF PARKS AND RECREATION,URBAN PARK SERVICES,2017,26496812
DEPARTMENT OF PARKS AND RECREATION,,2017,77770357
DEPARTMENT OF PROBATION,ASSIST-DIR-BRONX-FAM+ADULT SER,2017,1380673
DEPARTMENT OF PROBATION,ASSIST-DIR-KINGS-FAM+ADULT SER,2017,15080587
DEPARTMENT OF PROBATION,ASSIST-DIR-MAN-FAM + ADULT SER,2017,38237733
DEPARTMENT OF PROBATION,OFFICE OF THE DIRECTOR,2017,18372890
DEPARTMENT OF PROBATION,SUPPLEMENTARY PROBATION SERV,2017,7828116
DEPARTMENT OF PROBATION,,2017,17169032
DEPARTMENT OF RECORDS & INFORMATION SVS,ADMINISTRATION,2017,5854116
DEPARTMENT OF RECORDS & INFORMATION SVS,GOVERNMENT INFO SERV. RECORDS,2017,234919
DEPARTMENT OF RECORDS & INFORMATION SVS,GOVERNMENT INFO SERV-REFERENCE,2017,149901
DEPARTMENT OF RECORDS & INFORMATION SVS,PLANNING + MANAGEMENT-RECORDS,2017,483801
DEPARTMENT OF RECORDS & INFORMATION SVS,PUBLIC INFO SERV-GENERAL REF,2017,1057150
DEPARTMENT OF RECORDS & INFORMATION SVS,,2017,353280
DEPARTMENT OF SANITATION,ADMINISTRATION,2017,44481754
DEPARTMENT OF SANITATION,AUXILIARY FIELD & FACILITY,2017,1835919
DEPARTMENT OF SANITATION,BKLYN EAST DIST #13,2017,5773634
DEPARTMENT OF SANITATION,BKLYN EAST DIST #14,2017,7859339
DEPARTMENT OF SANITATION,BKLYN EAST DIST #15,2017,9878709
DEPARTMENT OF SANITATION,BKLYN EAST DIST #16,2017,5495125
DEPARTMENT OF SANITATION,BKLYN EAST DIST #17,2017,8131938
DEPARTMENT OF SANITATION,BKLYN EAST DIST #18,2017,10828092
DEPARTMENT OF SANITATION,BKLYN EAST DIST #9,2017,5367083
DEPARTMENT OF SANITATION,BKLYN NORTH BORO OFFICE ADMIN,2017,4199014
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #1,2017,8374552
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #2,2017,5559517
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #3,2017,7410829
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #4,2017,6831943
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #5,2017,7575401
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #8,2017,6386105
DEPARTMENT OF SANITATION,BKLYN WEST BORO OFFICE ADMIN,2017,6952780
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 10,2017,8029509
DEPARTMENT OF SANITATION,BKLYN WEST DIST 11,2017,10043303
DEPARTMENT OF SANITATION,BKLYN WEST DIST 12,2017,9789555
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 6,2017,6253379
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 7,2017,7078888
DEPARTMENT OF SANITATION,BRONX EAST BORO OFFICE ADMIN,2017,7080886
DEPARTMENT OF SANITATION,BRONX EAST DIST # 10,2017,5422325
DEPARTMENT OF SANITATION,BRONX EAST DIST # 11,2017,5476009
DEPARTMENT OF SANITATION,BRONX EAST DIST # 12,2017,6560943
DEPARTMENT OF SANITATION,BRONX EAST DIST # 6,2017,4628296
DEPARTMENT OF SANITATION,BRONX EAST DIST # 9,2017,5031299
DEPARTMENT OF SANITATION,BRONX WEST DIST # 1,2017,3486311
DEPARTMENT OF SANITATION,BRONX WEST DIST # 2,2017,3762106
DEPARTMENT OF SANITATION,BRONX WEST DIST # 3,2017,1987925
DEPARTMENT OF SANITATION,BRONX WEST DIST # 4,2017,4468662
DEPARTMENT OF SANITATION,BRONX WEST DIST # 5,2017,4376493
DEPARTMENT OF SANITATION,BRONX WEST DIST # 7,2017,4659884
DEPARTMENT OF SANITATION,BRONX WEST DIST # 8,2017,4407396
DEPARTMENT OF SANITATION,BRONX WEST MECHANICAL BROOMS,2017,3222354
DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,2017,28717333
DEPARTMENT OF SANITATION,CAPITAL BUDGET,2017,655881
DEPARTMENT OF SANITATION,CHARTER MANDATED SNOW BUDGET,2017,105528750
DEPARTMENT OF SANITATION,CLEAN + COLLECTION ADMIN,2017,355402883
DEPARTMENT OF SANITATION,CLEANING & COLL EXEC MGMT,2017,194118035
DEPARTMENT OF SANITATION,COMMUNITY SERVICES,2017,2246259
DEPARTMENT OF SANITATION,DEPT ADVOCATE/EMPLOYMENT MATTE,2017,773084
DEPARTMENT OF SANITATION,ENFORCEMENT,2017,19039927
DEPARTMENT OF SANITATION,EXECUTIVE MANAGEMENT,2017,70110791
DEPARTMENT OF SANITATION,HUMAN RESOURCES ADMINISTRATION,2017,2428950
DEPARTMENT OF SANITATION,LEGAL AFFAIRS,2017,3046152
DEPARTMENT OF SANITATION,LOT CLEANING,2017,15549932
DEPARTMENT OF SANITATION,MAN EAST DIST # 10,2017,5149273
DEPARTMENT OF SANITATION,MAN EAST DIST # 11,2017,4399868
DEPARTMENT OF SANITATION,MAN EAST DIST # 3,2017,6932991
DEPARTMENT OF SANITATION,MAN EAST DIST # 5,2017,4340584
DEPARTMENT OF SANITATION,MAN EAST DIST # 6,2017,6461315
DEPARTMENT OF SANITATION,MAN EAST DIST # 8,2017,9990713
DEPARTMENT OF SANITATION,MAN EAST MECHANICAL BROOMS,2017,2975572
DEPARTMENT OF SANITATION,MAN WEST BORO OFFICE ADMIN,2017,5356921
DEPARTMENT OF SANITATION,MAN WEST DIST # 1,2017,4012894
DEPARTMENT OF SANITATION,MAN WEST DIST # 12,2017,8674544
DEPARTMENT OF SANITATION,MAN WEST DIST # 2,2017,5544304
DEPARTMENT OF SANITATION,MAN WEST DIST # 4,2017,6015636
DEPARTMENT OF SANITATION,MAN WEST DIST # 7,2017,9298212
DEPARTMENT OF SANITATION,MAN WEST DIST # 9,2017,4235742
DEPARTMENT OF SANITATION,MAN WEST MECHANICAL BROOMS,2017,2633781
DEPARTMENT OF SANITATION,MARINE TRANSPORT DIVISION,2017,169695
DEPARTMENT OF SANITATION,MARINE UNLOADING,2017,5852257
DEPARTMENT OF SANITATION,MOTOR EQUIPMENT ADMINISTRATION,2017,95908897
DEPARTMENT OF SANITATION,MTS DIV,2017,9241344
DEPARTMENT OF SANITATION,QUEENS NORTH BORO OFFICE ADMIN,2017,9392269
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 11,2017,9495331
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 7,2017,12311359
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 8,2017,9239746
DEPARTMENT OF SANITATION,QUEENS SOUTH BORO OFFICE ADMIN,2017,1150712
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #10,2017,8204752
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #12,2017,12423425
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #13,2017,12817173
DEPARTMENT OF SANITATION,QUEENS SOUTH DISTRICT #14,2017,6890868
DEPARTMENT OF SANITATION,QUEENS WEST BORO OFFICE ADMIN,2017,6111355
DEPARTMENT OF SANITATION,QUEENS WEST DIST #1,2017,9597598
DEPARTMENT OF SANITATION,QUEENS WEST DIST #2,2017,5976793
DEPARTMENT OF SANITATION,QUEENS WEST DIST #3,2017,6741066
DEPARTMENT OF SANITATION,QUEENS WEST DIST #4,2017,6228567
DEPARTMENT OF SANITATION,QUEENS WEST DIST #5,2017,9816728
DEPARTMENT OF SANITATION,QUEENS WEST DIST #6,2017,5720813
DEPARTMENT OF SANITATION,QUEENS WEST DIST #9,2017,8129616
DEPARTMENT OF SANITATION,SOLID WASTE MGMT AND PLANNING,2017,4986430
DEPARTMENT OF SANITATION,SOLID WASTE MGNT & LANDFILL PLANNING,2017,40888089
DEPARTMENT OF SANITATION,STATEN ISLAD BORO OFFICE ADMIN,2017,3116478
DEPARTMENT OF SANITATION,STATEN ISLAND DIST # 1,2017,13651258
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #2,2017,12228424
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #3,2017,13797029
DEPARTMENT OF SANITATION,SUPPORT OPERATIONS ENGR,2017,7620828
DEPARTMENT OF SANITATION,WASTE DISPOSAL ADMINISTRATION,2017,8227422
DEPARTMENT OF SANITATION,"WASTE PREVENTION, REUSE & RECYCLING",2017,19545429
DEPARTMENT OF SANITATION,,2017,15127049
DEPARTMENT OF SMALL BUSINESS SERVICES,ADMINISTRATIVE SERVICES,2017,10969340
DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT OF BUSINESS SERVICES,2017,81392891
DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPEMENT CORP,2017,123178268
DEPARTMENT OF SMALL BUSINESS SERVICES,FINANCIAL AND ECONOMIC OPP,2017,2751926
DEPARTMENT OF SMALL BUSINESS SERVICES,NEIGHBORHOOD ECONOMIC DEVELOPMENT,2017,5547008
DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT,2017,45440210
DEPARTMENT OF SMALL BUSINESS SERVICES,,2017,84891199
DEPARTMENT OF SOCIAL SERVICES,ADMIN/COMMR FIRST DEPUTY,2017,2467330
DEPARTMENT OF SOCIAL SERVICES,AUDIT SERVICES,2017,2286201
DEPARTMENT OF SOCIAL SERVICES,Benefits Reengineering,2017,0
DEPARTMENT OF SOCIAL SERVICES,BUDGET ADMINISTRATION,2017,201256388
DEPARTMENT OF SOCIAL SERVICES,CEO - Evaluation,2017,777032
DEPARTMENT OF SOCIAL SERVICES,Citywide Health Insurance Access,2017,1232969
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY CARE SENIOR SERV FLD,2017,49536064
DEPARTMENT OF SOCIAL SERVICES,"Crisis, Disaster + Survivors",2017,134390470
DEPARTMENT OF SOCIAL SERVICES,CUSTOMIZED ASSISTANCE SERVICE,2017,15682832
DEPARTMENT OF SOCIAL SERVICES,DIVISION OF AIDS SERVICES,2017,172377130
DEPARTMENT OF SOCIAL SERVICES,Fair Hearing,2017,17653954
DEPARTMENT OF SOCIAL SERVICES,FIA Employment and Contract Services,2017,292249642
DEPARTMENT OF SOCIAL SERVICES,FIA Executive Administration,2017,1961566
DEPARTMENT OF SOCIAL SERVICES,FIA Homeless Diversion,2017,49924952
DEPARTMENT OF SOCIAL SERVICES,FOOD STAMPS,2017,85695027
DEPARTMENT OF SOCIAL SERVICES,GENERAL COUNSEL/LEGAL AFFAIRS,2017,12802463
DEPARTMENT OF SOCIAL SERVICES,GENERAL SUPPORT SERVICES,2017,118295960
DEPARTMENT OF SOCIAL SERVICES,HASA HIV/AIDS SERVICES ADMINISTRATION,2017,60646706
DEPARTMENT OF SOCIAL SERVICES,HHS Connect,2017,5568629
DEPARTMENT OF SOCIAL SERVICES,Housing & Homeless Services/Initiatives,2017,50034143
DEPARTMENT OF SOCIAL SERVICES,*INACT ADULT SVCS ADULT INSTNS,2017,5146332
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT FIELD OPERATION,2017,127065253
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT PROGRAM,2017,1630511046
DEPARTMENT OF SOCIAL SERVICES,INVESTIGATION DIVISION,2017,78532263
DEPARTMENT OF SOCIAL SERVICES,IS PROGRAM DEVELOPMENT,2017,7692675
DEPARTMENT OF SOCIAL SERVICES,Legal Assistance Initiatives,2017,2483565
DEPARTMENT OF SOCIAL SERVICES,MANAGEMENT INFORMATION SYSTEMS,2017,51354730
DEPARTMENT OF SOCIAL SERVICES,MAP-MEDICAL ASSISTANCE PROGRAM,2017,5842262364
DEPARTMENT OF SOCIAL SERVICES,MICSA-Home Care Services,2017,32612158
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medicaid Eligibility,2017,63235347
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medical Assistance Program,2017,5965563
DEPARTMENT OF SOCIAL SERVICES,MICSA-Program Support,2017,9169490
DEPARTMENT OF SOCIAL SERVICES,MUNICIPAL IDENTIFICATION CARD,2017,24215539
DEPARTMENT OF SOCIAL SERVICES,NEW INITIATIVES,2017,744880
DEPARTMENT OF SOCIAL SERVICES,Office of Child Support Enforcement,2017,39890287
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF COMMUNICATIONS AND MARKETING,2017,5251733
DEPARTMENT OF SOCIAL SERVICES,Office of Community Engagement & Access,2017,10602116
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF CONTRACTS,2017,6236546
DEPARTMENT OF SOCIAL SERVICES,Office of Evaluation and Research,2017,772348
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANCE,2017,1068638
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANICAL MANAGEMENT,2017,7047381
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FISCAL OPERATIONS,2017,9878609
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF INTERGVTL AFFAIRS,2017,5727440
DEPARTMENT OF SOCIAL SERVICES,Office of Police Operations,2017,2788891
DEPARTMENT OF SOCIAL SERVICES,Office of Revenue and Admin (ORA),2017,11167836
DEPARTMENT OF SOCIAL SERVICES,Office of the Advocacy,2017,163516
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL ADMINISTRATION,2017,935050
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL SERVICES,2017,12875299
DEPARTMENT OF SOCIAL SERVICES,Public Engagement,2017,338248
DEPARTMENT OF SOCIAL SERVICES,PUBLIC/PRIVATE PARTNERSHIPS,2017,423774
DEPARTMENT OF SOCIAL SERVICES,PURCHASING MATERIALS MANAGEMNT,2017,81105
DEPARTMENT OF SOCIAL SERVICES,Quality Assurance & Fiscal Integrity,2017,6639148
DEPARTMENT OF SOCIAL SERVICES,SAVE,2017,1252000
DEPARTMENT OF SOCIAL SERVICES,VETERANS OUTREACH PROGRAM,2017,335000
DEPARTMENT OF SOCIAL SERVICES,,2017,104619515
DEPARTMENT OF TRANSPORTATION,ACCOUNTING MANAGEMENT,2017,13612872
DEPARTMENT OF TRANSPORTATION,ARTERIAL HIGHWAYS MAINTENANCE,2017,24625430
DEPARTMENT OF TRANSPORTATION,BOROUGH ENGINEERING,2017,23467274
DEPARTMENT OF TRANSPORTATION,BRIDGE EXECUTIVE MGMT + ADMIN,2017,15633617
DEPARTMENT OF TRANSPORTATION,BRIDGE INSPECTIONS + RESEARCH,2017,6798342
DEPARTMENT OF TRANSPORTATION,BRIDGE MAINTENANCE ENGINEERING,2017,35210530
DEPARTMENT OF TRANSPORTATION,BRIDGE REPAIRS/FLAGS,2017,29682935
DEPARTMENT OF TRANSPORTATION,BRIDGE + TUNNEL OPERATIONS,2017,5385695
DEPARTMENT OF TRANSPORTATION,BRONX MAINTENANCE ENGINEER,2017,13218445
DEPARTMENT OF TRANSPORTATION,BROOKLYN MAINTENANCE ENGINEER,2017,20072273
DEPARTMENT OF TRANSPORTATION,CAPITAL PLANNING,2017,3432280
DEPARTMENT OF TRANSPORTATION,CONSTRUCTION COORDINATION,2017,104019
DEPARTMENT OF TRANSPORTATION,CONVERSION NAME,2017,36000
DEPARTMENT OF TRANSPORTATION,DEPUTY COMMISSIONER ADMIN,2017,11090543
DEPARTMENT OF TRANSPORTATION,EAST RIVER/MOVABLE BRIDGE ENGINEERING,2017,5825306
DEPARTMENT OF TRANSPORTATION,EEO + LABOR RELATIONS,2017,1431892
DEPARTMENT OF TRANSPORTATION,ENGINEERING PRE-AUDITS,2017,2233972
DEPARTMENT OF TRANSPORTATION,ENGINEERING SERVICES-TRANSIT,2017,1955421
DEPARTMENT OF TRANSPORTATION,"EXECUTIVE MANAGEMENT, HIGHWAYS",2017,90231811
DEPARTMENT OF TRANSPORTATION,"EXECUTIVE MANAGEMENT, TRAFFIC",2017,43456776
DEPARTMENT OF TRANSPORTATION,FERRY MAINTENANCE + REPAIR,2017,34166265
DEPARTMENT OF TRANSPORTATION,FINANCIAL MANAGEMENT,2017,5295027
DEPARTMENT OF TRANSPORTATION,HIGHWAY DESIGN,2017,37129998
DEPARTMENT OF TRANSPORTATION,HWY INSP + QUALITY ASSURANCE,2017,11859352
DEPARTMENT OF TRANSPORTATION,LEGAL AFFAIRS,2017,7087695
DEPARTMENT OF TRANSPORTATION,MAINT ENGRG + OPERATIONS MGMT,2017,36459974
DEPARTMENT OF TRANSPORTATION,MANHATTAN MAINTENANCE,2017,9039939
DEPARTMENT OF TRANSPORTATION,MUNICIPAL FERRY SERVICE,2017,64182119
DEPARTMENT OF TRANSPORTATION,OFFICE OF THE COMMISSIONER,2017,15538020
DEPARTMENT OF TRANSPORTATION,OPER SUPPT/FACILITIES/COMMUNIC,2017,38966130
DEPARTMENT OF TRANSPORTATION,PARKING,2017,52731584
DEPARTMENT OF TRANSPORTATION,PERSONNEL + PAYROLL,2017,4781084
DEPARTMENT OF TRANSPORTATION,PLANNING AND RESEARCH,2017,15839061
DEPARTMENT OF TRANSPORTATION,QUEENS MAINTENANCE ENGINEER,2017,24460836
DEPARTMENT OF TRANSPORTATION,RICHMOND MAINTENANCE ENGINEER,2017,7777120
DEPARTMENT OF TRANSPORTATION,ROADWAY BRIDGE ENGINEERING,2017,6648312
DEPARTMENT OF TRANSPORTATION,ROADWAY DESIGN,2017,3126210
DEPARTMENT OF TRANSPORTATION,ROADWAY ENGINEERING CONSTR,2017,4758385
DEPARTMENT OF TRANSPORTATION,SAFETY ENGINEERING,2017,4247585
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSIT OPERATIONS,2017,4467502
DEPARTMENT OF TRANSPORTATION,TRAFFIC ENGINEERING MANAGEMENT,2017,1625385
DEPARTMENT OF TRANSPORTATION,TRAFFIC ENGINEERING & SAFETY,2017,0
DEPARTMENT OF TRANSPORTATION,TRAFFIC INTELLIGENCE DIVISION,2017,2827704
DEPARTMENT OF TRANSPORTATION,TRAFFIC MANAGEMENT INFO SVCS,2017,6371312
DEPARTMENT OF TRANSPORTATION,TRAFFIC PLANNING,2017,11698733
DEPARTMENT OF TRANSPORTATION,TRAF SIGNALS + STREET LIGHTING,2017,187184209
DEPARTMENT OF TRANSPORTATION,TRANSIT OPERATIONS EXEC MGMT,2017,3131884
DEPARTMENT OF TRANSPORTATION,VEHICLE MAINTENANCE + REPAIR,2017,27038334
DEPARTMENT OF TRANSPORTATION,VIOLATION TOW PROGRAM,2017,30000
DEPARTMENT OF TRANSPORTATION,,2017,-12706902
DEPARTMENT OF VETERANS' SERVICES,,2017,0
DEPARTMENT OF YOUTH & COMMUNITY DEV,ADMINISTRATION AND FINANCE,2017,285650908
DEPARTMENT OF YOUTH & COMMUNITY DEV,COMMUNITY DEVELOPMENT AGENCY,2017,56895728
DEPARTMENT OF YOUTH & COMMUNITY DEV,,2017,349189710
DISTRICT ATTORNEY BRONX COUNTY,EXECUTIVE MANAGEMENT,2017,55767803
DISTRICT ATTORNEY BRONX COUNTY,INVESTIGATIONS,2017,4259091
DISTRICT ATTORNEY BRONX COUNTY,,2017,1868938
DISTRICT ATTORNEY KINGS COUNTY,EXECUTIVE & MANAGERIAL,2017,96594480
DISTRICT ATTORNEY KINGS COUNTY,,2017,1353875
DISTRICT ATTORNEY NEW YORK COUNTY,ACCOUNTING SERVICES,2017,1268506
DISTRICT ATTORNEY NEW YORK COUNTY,ADMINISTRATIVE SERVICES,2017,40025819
DISTRICT ATTORNEY NEW YORK COUNTY,CAREER CRIMINAL,2017,2834336
DISTRICT ATTORNEY NEW YORK COUNTY,CONVERSION NAME,2017,78843
DISTRICT ATTORNEY NEW YORK COUNTY,EXECUTIVE MANAGEMENT,2017,7855644
DISTRICT ATTORNEY NEW YORK COUNTY,INVESTIGATIVE SERVICES,2017,4174814
DISTRICT ATTORNEY NEW YORK COUNTY,LEGAL SERVICES,2017,43048484
DISTRICT ATTORNEY NEW YORK COUNTY,VICTIM WITNESS PROGRAM,2017,318729
DISTRICT ATTORNEY NEW YORK COUNTY,,2017,21878608
DISTRICT ATTORNEY QUEENS COUNTY,EXECUTIVE MANAGEMENT,2017,57786102
DISTRICT ATTORNEY QUEENS COUNTY,,2017,1931661
DISTRICT ATTORNEY RICHMOND COUNTY,EXECUTIVE MANAGEMENT,2017,9797584
DISTRICT ATTORNEY RICHMOND COUNTY,,2017,1029563
EQUAL EMPLOYMENT PRACTICES COMMISSION,EXECUTIVE,2017,977608
EQUAL EMPLOYMENT PRACTICES COMMISSION,,2017,37573
FINANCIAL INFORMATION SERVICE AGENCY,ADMINISTRATIVE SERVICES,2017,1206219
FINANCIAL INFORMATION SERVICE AGENCY,EXECUTIVE MANAGEMENT,2017,43483384
FINANCIAL INFORMATION SERVICE AGENCY,INFORMATION SYSTEMS,2017,8312884
FINANCIAL INFORMATION SERVICE AGENCY,INFORMATION TECHNOLOGY,2017,19747808
FINANCIAL INFORMATION SERVICE AGENCY,,2017,23161046
FIRE DEPARTMENT,AFFIRMATIVE EMPLOYMENT,2017,867372
FIRE DEPARTMENT,BICS,2017,13212850
FIRE DEPARTMENT,BOARD OF TRUSTEES,2017,516918
FIRE DEPARTMENT,BRONX BOROUGH COMMAND,2017,191131953
FIRE DEPARTMENT,BROOKLYN BOROUGH COMMAND,2017,337938230
FIRE DEPARTMENT,BUDGET SERVICES,2017,1227746
FIRE DEPARTMENT,BUILDINGS,2017,11519193
FIRE DEPARTMENT,BUREAU MANAGEMENT,2017,945868
FIRE DEPARTMENT,CHIEF OF DEPT BUR OF OPERATION,2017,18723558
FIRE DEPARTMENT,CONVERSION NAME,2017,675861
FIRE DEPARTMENT,DEPUTY COMMISSIONER OF ADMINIS,2017,274199
FIRE DEPARTMENT,DISPATCHERS,2017,12315425
FIRE DEPARTMENT,DIST ORGANIZATION INSPECTION,2017,7929903
FIRE DEPARTMENT,EMERGENCY MEDICAL SERVICES,2017,247668983
FIRE DEPARTMENT,FIRE COMMUNICATIONS,2017,546151
FIRE DEPARTMENT,FIRE INVESTIGATIONS,2017,18338971
FIRE DEPARTMENT,FIRST DEPUTY COMMISSIONER,2017,122566
FIRE DEPARTMENT,FISCAL SERVICES,2017,73001317
FIRE DEPARTMENT,FLEET MAINTENANCE,2017,24125105
FIRE DEPARTMENT,HAZARDOUS MATERIALS UNIT,2017,7099832
FIRE DEPARTMENT,HEADQUARTER INSPECTION,2017,18548156
FIRE DEPARTMENT,HEALTH SERVICES,2017,4079888
FIRE DEPARTMENT,HUM RES DEV PUBLIC CERTIFICAT,2017,1343576
FIRE DEPARTMENT,INTERGOVERNMENTAL AFFAIRS,2017,825109
FIRE DEPARTMENT,INVESTIGATIONS AND TRIALS,2017,960514
FIRE DEPARTMENT,LABOR RELATIONS,2017,384431
FIRE DEPARTMENT,LEGAL,2017,2348444
FIRE DEPARTMENT,MANAGEMENT POLICY AND REVIEW,2017,1065896
FIRE DEPARTMENT,MANAGEMENT SUPPORT STAFF,2017,1448067
FIRE DEPARTMENT,MANHATTAN BOROUGH COMMAND,2017,245712404
FIRE DEPARTMENT,MARINE DIVISION,2017,13773146
FIRE DEPARTMENT,MASK SERVICE UNIT,2017,4490384
FIRE DEPARTMENT,OFFICE OF THE FIRE COMM,2017,3903867
FIRE DEPARTMENT,OPERATION SUPPORT STAFF,2017,3246486
FIRE DEPARTMENT,OUTSIDE PLANT ENGINEERING,2017,8711
FIRE DEPARTMENT,OUTSIDE PLANT MAINTENANCE,2017,0
FIRE DEPARTMENT,PENSIONS DIVISION,2017,1866277
FIRE DEPARTMENT,PERSONNEL,2017,4406249
FIRE DEPARTMENT,QUEENS BOROUGH COMMAND,2017,263480206
FIRE DEPARTMENT,RESCUE SERVICES,2017,41335132
FIRE DEPARTMENT,SAFETY UNIT,2017,1795162
FIRE DEPARTMENT,STATEN ISLAND BOROUGH COMMAND,2017,97405106
FIRE DEPARTMENT,SUPPORT SERVICES,2017,1669440
FIRE DEPARTMENT,TECHNOLOGY MANAGEMENT,2017,2844179
FIRE DEPARTMENT,TELECOMMUNICATIONS SYS ENG,2017,990
FIRE DEPARTMENT,TRAINING,2017,10002657
FIRE DEPARTMENT,,2017,354256131
HEALTH AND HOSPITALS CORP,HEALTH & HOSPITALS CORP,2017,1305376262
HEALTH AND HOSPITALS CORP,,2017,20455117
HOUSING PRESERVATION AND DEVELOPMENT,ADMINISTRATION,2017,25362130
HOUSING PRESERVATION AND DEVELOPMENT,ALTERNATIVE MGMT PROGRAMS,2017,11139556
HOUSING PRESERVATION AND DEVELOPMENT,COMMISSIONER'S OFFICE,2017,8480615
HOUSING PRESERVATION AND DEVELOPMENT,DEMOLITION & SEALING,2017,16475017
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-DEVELOPMENT,2017,15142721
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-HOUSING MGMT & SALES,2017,2611659
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-HOUSING PRESERVATION,2017,890028
HOUSING PRESERVATION AND DEVELOPMENT,DESIGN & CONSTRUCTION,2017,9979691
HOUSING PRESERVATION AND DEVELOPMENT,DPM-RELOCATION,2017,208394
HOUSING PRESERVATION AND DEVELOPMENT,EVALUATION & COMPLIANCE-CNT OP,2017,2132938
HOUSING PRESERVATION AND DEVELOPMENT,FED AFFAIRS & POLICY DEV,2017,1025102
HOUSING PRESERVATION AND DEVELOPMENT,FISCAL & BUDGET AFFAIRS,2017,7197348
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING AUTHORITY PROJECTS,2017,20339515
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING LITIGATION BUREAU,2017,10094116
HOUSING PRESERVATION AND DEVELOPMENT,"HOUSING,PRODUCTION & FINANCE",2017,439501473
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING SUPERVISION,2017,3624704
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING SUPERVISION-OHP,2017,8385577
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING VACANCY SURVEY IN OHP,2017,4294289
HOUSING PRESERVATION AND DEVELOPMENT,LEGAL AFFAIRS,2017,4695790
HOUSING PRESERVATION AND DEVELOPMENT,MAINTENANCE&FINANCEIAL OPS,2017,212686
